35321,BIOL 4002-01,M,  T R  ,01/16/2024-05/07/2024,1230-1345,JONESA 102,3,CLAS,Ecosystem Biology,Benjamin D. Duval,6,10,4,0,$50,Bookstore Link
35323,BIOL 4009-01,M, M W F ,01/16/2024-05/07/2024,1100-1150,WEIR 132,3,CLAS,Cell & Molecular Neuroscience,Stewart Thompson,0,10,10,0,$25,Bookstore Link
35324,BIOL 4043-01,M,  T R  ,01/16/2024-05/07/2024,1100-1215,SPEARE 23,3,CLAS,Molecular Biology,Snezna Rogelj,1,12,11,0,$25,Bookstore Link
35327,BIOL 4043L-01,M,   W   ,01/16/2024-05/07/2024,1400-1630,JONESA 230,1,CLAS,Molecular biology Lab,Willie A. Hughes,3,12,9,0,$150,Bookstore Link
35332,BIOL 4071-01,M,   W   ,01/16/2024-05/07/2024,1200-1250,JONESA 101,1,CLAS,Life Sciences Seminar,Snezna Rogelj,14,30,16,0,$25,Bookstore Link
35397,BIOL 4081-01D,DE,   W   ,01/16/2024-05/07/2024,1900-2100,WEB-V ,1,CLAS,FreeStyle Biosciences,Snezna Rogelj,8,10,2,0,$10,Bookstore Link
35783,BIOL 4089-01,M, ,01/16/2024-05/07/2024,None, ,3,CLAS,Bacterial Lifestyles,Linda C. DeVeaux,10,20,10,0,$10,Bookstore Link
34183,BIOL 5000-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Linda C. DeVeaux,10,10,0,0,N/A,Bookstore Link
34184,BIOL 5000-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Benjamin D. Duval,10,10,0,0,N/A,Bookstore Link
34185,BIOL 5000-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Thomas Kieft,10,10,0,0,N/A,Bookstore Link
34186,BIOL 5000-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Snezna Rogelj,10,10,0,0,N/A,Bookstore Link
34187,BIOL 5000-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Stewart Thompson,10,10,0,0,N/A,Bookstore Link
35342,BIOL 5000-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Joel T. Sharbrough,9,10,1,0,N/A,Bookstore Link
34188,BIOL 5001-01,M, M     ,01/16/2024-05/07/2024,1200-1250,SPEARE 16,1,CLAS,Graduate Seminar. Parasites,Snezna Rogelj,21,30,9,0,$25,Bookstore Link
35322,BIOL 5002-01,M,  T R  ,01/16/2024-05/07/2024,1230-1345,JONESA 102,3,CLAS,Ecosystem Biology,Benjamin D. Duval,6,10,4,0,$50,Bookstore Link
35328,BIOL 5043-01,M,  T R  ,01/16/2024-05/07/2024,1100-1215,SPEARE 23,3,CLAS,Molecular Biology,Snezna Rogelj,2,6,4,0,$25,Bookstore Link
35329,BIOL 5043L-01,M,   W   ,01/16/2024-05/07/2024,1400-1630,JONESA 230,1,CLAS,Molecular Biology Lab,Willie A. Hughes,3,4,1,0,$150,Bookstore Link
34182,BIOL 5082-01D,DE,   W   ,01/16/2024-05/07/2024,1900-2100,WEB-V ,1,CLAS,FreeStyle Bio Sciences,Snezna Rogelj,7,10,3,0,$10,Bookstore Link
